<DATE>  <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.25	9582	9618	9464	9558	11694	0	0
2016.04.26	9570	9666	9546	9635	4624	0	0
2016.04.27	9630	9664	9561	9594	4361	0	0
2016.04.28	9626	9636	9509	9568	6726	0	0
2016.04.29	9554	9587	9501	9519	5707	0	0
2016.05.03	9531	9722	9512	9602	7802	0	0
2016.05.04	9621	9643	9547	9549	4506	0	0
2016.05.05	9577	9608	9542	9546	3675	0	0
2016.05.06	9566	9587	9299	9347	7888	0	0
2016.05.09	9370	9385	9157	9168	7548	0	0
2016.05.10	9199	9299	9170	9295	5182	0	0
2016.05.11	9308	9324	9218	9248	5343	0	0
2016.05.12	9228	9323	9177	9279	6042	0	0
2016.05.13	9271	9309	9220	9226	5382	0	0
2016.05.16	9255	9323	9219	9280	4905	0	0
2016.05.17	9275	9284	9169	9195	3737	0	0
2016.05.18	9203	9212	9023	9200	5004	0	0
2016.05.19	9140	9215	9123	9139	4418	0	0
2016.05.20	9162	9238	9137	9232	3653	0	0
2016.05.23	9224	9292	9168	9208	3119	0	0
2016.05.24	9203	9222	9108	9218	3607	0	0
2016.05.25	9213	9233	9116	9167	4913	0	0
2016.05.26	9170	9206	9072	9147	5423	0	0
2016.05.27	9150	9232	9103	9177	3126	0	0
2016.05.30	9166	9221	9093	9191	4365	0	0
2016.05.31	9189	9590	9180	9573	7568	0	0
2016.06.01	9560	9560	9434	9459	4493	0	0
2016.06.02	9466	9487	9409	9476	4700	0	0
2016.06.03	9467	9499	9417	9474	4141	0	0
2016.06.06	9450	9457	9338	9442	2059	0	0
2016.06.07	9428	9477	9388	9445	2870	0	0
2016.06.08	9433	9436	9321	9391	4232	0	0
2016.06.10	9356	9357	9184	9189	8717	0	0
2016.06.13	9321	9324	9060	9086	6428	0	0
2016.06.14	9126	9238	9111	9158	4275	0	0
2016.06.15	9026	9271	8993	9177	5910	0	0
2016.06.16	9194	9207	9112	9166	4781	0	0
2016.06.17	9193	9292	9172	9208	4307	0	0
2016.06.20	9231	9308	9150	9261	4327	0	0
2016.06.21	9246	9351	9188	9217	5270	0	0
2016.06.22	9244	9303	9192	9283	4622	0	0
2016.06.23	9299	9314	9150	9231	3820	0	0
2016.06.24	9192	9241	8946	9116	11787	0	0
2016.06.27	9083	9200	9043	9125	5798	0	0
2016.06.28	9121	9242	9114	9226	5045	0	0
2016.06.29	9246	9347	9219	9342	4611	0	0
2016.06.30	9354	9359	9288	9350	5043	0	0
2016.07.01	9334	9397	9300	9388	2719	0	0
2016.07.04	9353	9527	9332	9474	5122	0	0
2016.07.05	9471	9497	9413	9419	3808	0	0
2016.07.06	9434	9472	9370	9470	4282	0	0
2016.07.07	9469	9496	9396	9443	3496	0	0
2016.07.08	9433	9468	9378	9468	3142	0	0
2016.07.11	9452	9516	9403	9433	3903	0	0
2016.07.12	9436	9706	9433	9691	4888	0	0
2016.07.13	9618	9675	9545	9590	4763	0	0
2016.07.14	9591	9607	9515	9562	2937	0	0
2016.07.15	9557	9607	9533	9559	3737	0	0
2016.07.18	9568	9644	9532	9565	3834	0	0
2016.07.19	9573	9596	9440	9445	3892	0	0
2016.07.20	9425	9518	9425	9478	2168	0	0
2016.07.21	9479	9559	9475	9489	2795	0	0
2016.07.22	9504	9514	9402	9428	3690	0	0
2016.07.25	9410	9460	9395	9431	2950	0	0
2016.07.26	9418	9550	9389	9533	4880	0	0
2016.07.27	9540	9551	9308	9449	7340	0	0
2016.07.28	9438	9490	9413	9456	4088	0	0
2016.07.29	9452	9480	9412	9464	3100	0	0
2016.08.01	9460	9470	9393	9411	3527	0	0
2016.08.02	9432	9450	9343	9357	3178	0	0
2016.08.03	9377	9437	9352	9408	3449	0	0
2016.08.04	9407	9427	9337	9392	2816	0	0
2016.08.05	9397	9465	9365	9444	2874	0	0
2016.08.08	9445	9494	9371	9488	2538	0	0
2016.08.09	9481	9580	9456	9565	3021	0	0
2016.08.10	9552	9564	9517	9523	2536	0	0
2016.08.11	9521	9684	9504	9594	3421	0	0
2016.08.12	9598	9800	9565	9767	3547	0	0
2016.08.15	9757	10132	9733	10093	6153	0	0
2016.08.16	10113	10134	9900	9951	7600	0	0
2016.08.17	9956	9995	9850	9853	4767	0	0
2016.08.18	9896	9991	9808	9836	4757	0	0
2016.08.19	9850	9893	9801	9850	4360	0	0
2016.08.22	9845	9890	9802	9835	4721	0	0
2016.08.23	9831	9928	9810	9852	3920	0	0
2016.08.24	9868	9874	9775	9808	3349	0	0
2016.08.25	9803	9824	9709	9778	7135	0	0
2016.08.26	9776	9811	9736	9743	5406	0	0
2016.08.29	9756	9775	9675	9745	4349	0	0
2016.08.30	9752	9820	9735	9765	3529	0	0
2016.08.31	9758	9846	9756	9798	3618	0	0
2016.09.01	9817	9834	9727	9740	3451	0	0
2016.09.02	9755	9825	9751	9822	3622	0	0
2016.09.05	9824	9890	9819	9843	3927	0	0
2016.09.06	9848	9881	9768	9846	4139	0	0
2016.09.07	9842	9883	9814	9823	3072	0	0
2016.09.08	9826	9864	9819	9847	3070	0	0
2016.09.09	9842	9869	9703	9714	3191	0	0
2016.09.12	9707	9712	9552	9663	6274	0	0
2016.09.13	9650	9671	9555	9566	3724	0	0
2016.09.14	9571	9616	9487	9514	3915	0	0
2016.09.15	9476	9560	9476	9560	2502	0	0
2016.09.16	9542	9584	9542	9570	1383	0	0
2016.09.19	9572	9642	9565	9614	2501	0	0
2016.09.20	9619	9642	9572	9632	2082	0	0
2016.09.21	9623	9630	9568	9590	2801	0	0
2016.09.22	9639	9729	9637	9694	2923	0	0
2016.09.23	9704	9704	9598	9614	2006	0	0
2016.09.26	9637	9637	9462	9500	2774	0	0
2016.09.27	9482	9586	9455	9552	2195	0	0
2016.09.28	9553	9562	9503	9534	2062	0	0
2016.09.29	9561	9615	9549	9550	3236	0	0
2016.09.30	9579	9613	9531	9613	3042	0	0
2016.10.03	9598	9603	9554	9588	1639	0	0
2016.10.04	9582	9602	9561	9580	1890	0	0
2016.10.05	9586	9616	9574	9614	2299	0	0
2016.10.06	9608	9670	9601	9666	2333	0	0
2016.10.07	9639	9679	9616	9653	2078	0	0
2016.10.10	9669	9759	9614	9732	3809	0	0
2016.10.11	9721	9734	9672	9677	4175	0	0
2016.10.12	9695	9695	9642	9681	2298	0	0
2016.10.13	9669	9701	9608	9648	4223	0	0
2016.10.14	9637	9732	9615	9720	2946	0	0
2016.10.17	9700	9703	9553	9605	2720	0	0
2016.10.18	9607	9790	9599	9779	3526	0	0
2016.10.19	9769	9792	9714	9748	2268	0	0
2016.10.20	9742	9782	9733	9746	1467	0	0
2016.10.21	9740	9853	9737	9818	2462	0	0
2016.10.24	9821	9999	9793	9963	3743	0	0
2016.10.25	9972	9975	9893	9912	1605	0	0
2016.10.26	9882	9930	9824	9858	1516	0	0
2016.10.27	9869	9878	9805	9848	2052	0	16
2016.10.28	9824	9927	9824	9857	3127	0	16
2016.10.31	9809	9862	9792	9815	2745	0	16
2016.11.01	9897	9920	9854	9855	1957	0	16
2016.11.02	9853	9861	9795	9802	1844	0	16
2016.11.03	9850	9969	9832	9885	2312	0	16
2016.11.04	9942	9965	9862	9872	1759	0	16
2016.11.07	9907	9948	9880	9937	1268	0	16
2016.11.08	9951	10020	9923	9986	1408	0	16
2016.11.09	9909	9955	9719	9932	7979	0	16
2016.11.10	10012	10042	9943	9950	2274	0	16
2016.11.11	9959	10092	9949	10042	3090	0	16
2016.11.14	10078	10164	10042	10056	3305	0	14
2016.11.15	10059	10099	10028	10054	2911	0	12
2016.11.16	10054	10104	10013	10028	2760	0	14
2016.11.17	10023	10078	9980	10072	3217	0	16
2016.11.18	10071	10094	10017	10026	2961	0	16
2016.11.21	10031	10231	10031	10176	3908	0	13
2016.11.22	10179	10290	10168	10278	3982	0	14
2016.11.23	10283	10380	10252	10335	3892	0	16
2016.11.24	10334	10423	10301	10369	3112	0	14
2016.11.25	10356	10512	10321	10509	4059	0	14
2016.11.28	10507	10614	10488	10513	3995	0	13
2016.11.29	10514	10729	10479	10685	6234	0	13
2016.11.30	10682	10702	10502	10543	5914	0	14
2016.12.01	10563	10665	10534	10591	4877	0	16
2016.12.02	10570	10586	10446	10521	4363	0	16
2016.12.05	10459	10459	10238	10378	6722	0	13
2016.12.06	10405	10417	10329	10347	2811	0	16
2016.12.07	10357	10390	10313	10390	1889	0	16
2016.12.08	10399	10428	10349	10363	3094	0	13
2016.12.09	10345	10604	10345	10547	4861	0	16
2016.12.12	10548	10614	10357	10403	8119	0	16
2016.12.13	10406	10421	10315	10367	4905	0	13
2016.12.14	10361	10427	10299	10326	3824	0	14
2016.12.15	10304	10305	10056	10093	7561	0	13
2016.12.16	10096	10153	10054	10059	4050	0	14
2016.12.19	10053	10103	9994	9995	3417	0	13
2016.12.20	10017	10041	9876	9921	4488	0	13
2016.12.21	9944	10046	9939	9995	3257	0	16
2016.12.22	10012	10025	9942	9957	3745	0	13
2016.12.23	9951	9973	9869	9878	2331	0	16
2016.12.27	10009	10027	9955	9990	2434	0	13
2016.12.28	9991	10001	9892	9904	3106	0	16
2016.12.29	9910	9962	9884	9923	3123	0	16
2016.12.30	9920	9975	9913	9948	2944	0	16
2017.01.03	9950	10115	9943	10067	4413	0	16
2017.01.04	10068	10174	10052	10174	3469	0	16
2017.01.05	10164	10182	10130	10165	3424	0	13
2017.01.06	10171	10173	10094	10101	2982	0	13
2017.01.09	10094	10174	10094	10131	2496	0	16
2017.01.10	10128	10170	10098	10166	2295	0	13
2017.01.11	10162	10169	10063	10067	3246	0	16
2017.01.12	10072	10120	10036	10070	2821	0	16
2017.01.13	10069	10163	10050	10122	3661	0	14
2017.01.16	10118	10212	10022	10187	5995	0	16
2017.01.17	10173	10206	10153	10198	3596	0	16
2017.01.18	10193	10287	10184	10249	3195	0	12
2017.01.19	10263	10295	10213	10243	2257	0	16
2017.01.20	10241	10340	10238	10332	2905	0	14
2017.01.23	10323	10368	10268	10302	3828	0	13
2017.01.24	10306	10323	10274	10316	2151	0	13
2017.01.25	10324	10352	10278	10349	3319	0	13
2017.01.26	10356	10416	10344	10395	3666	0	16
2017.01.27	10396	10454	10389	10441	1514	0	16
2017.01.30	10433	10463	10433	10453	642	0	16
2017.01.31	10450	10466	10399	10436	1873	0	14
2017.02.01	10446	10451	10375	10447	1705	0	16
2017.02.02	10423	10441	10404	10432	1848	1269999999999873	16
2017.02.03	10425	10445	10267	10311	4420	43419999999995658	16
2017.02.06	10281	10330	10270	10284	3816	37189999999996281	16
2017.02.07	10280	10305	10209	10250	2751	26889999999997311	13
2017.02.08	10245	10300	10180	10269	3583	35829999999996417	16
2017.02.09	10265	10378	10265	10334	3436	34359999999996564	16
2017.02.10	10322	10426	10322	10420	3337	33369999999996663	16
2017.02.13	10410	10469	10410	10465	3360	33599999999996640	16
2017.02.14	10455	10475	10405	10451	2329	23289999999997671	13
2017.02.15	10450	10507	10438	10451	3789	37889999999996211	16
2017.02.16	10446	10487	10424	10480	2437	24369999999997563	13
2017.02.17	10474	10521	10387	10397	3775	37749999999996225	16
2017.02.20	10397	10620	10397	10612	3543	35429999999996457	16
2017.02.21	10608	10668	10580	10609	3257	32569999999996743	16
2017.02.22	10590	10632	10551	10580	2896	28959999999997104	16
2017.02.23	10572	10617	10517	10541	2730	27299999999997270	14
2017.02.24	10525	10556	10488	10514	2546	25459999999997454	16
2017.02.27	10514	10532	10406	10423	2962	29619999999997038	16
2017.02.28	10414	10483	10393	10434	2154	21539999999997846	16
2017.03.01	10426	10495	10415	10463	2892	28919999999997108	16
2017.03.02	10440	10480	10309	10309	2650	26499999999997350	16
2017.03.03	10300	10353	10295	10328	2312	23119999999997688	16
2017.03.06	10304	10386	10304	10334	2039	20389999999997961	16
2017.03.07	10322	10384	10322	10370	1428	14279999999998572	16
2017.03.08	10352	10390	10339	10341	1444	14439999999998556	16
2017.03.09	10327	10350	10256	10278	2451	24509999999997549	16
2017.03.10	10271	10316	10271	10283	2036	20359999999997964	13
2017.03.13	10259	10386	10251	10372	2167	21669999999997833	16
2017.03.14	10358	10399	10350	10355	1657	16569999999998343	16
2017.03.15	10338	10384	10336	10376	1505	15049999999998495	16
2017.03.16	10409	10493	10397	10468	2640	26399999999997360	20
2017.03.17	10452	10470	10290	10319	2514	25139999999997486	20
2017.03.20	10297	10364	10297	10364	2084	20839999999997916	20
2017.03.21	10350	10383	10321	10324	2484	24839999999997516	20
2017.03.22	10307	10346	10239	10322	2017	15299999999998470	0
2017.03.23	10320	10375	10278	10346	2420	24199999999997580	20
2017.03.24	10356	10476	10339	10455	2953	29529999999997047	20
2017.03.27	10396	10492	10386	10437	3901	39009999999996099	20
2017.03.28	10431	10461	10360	10395	2044	20439999999997956	20
2017.03.29	10385	10417	10340	10381	2342	23419999999997658	20
2017.03.30	10385	10394	10289	10325	3016	30159999999996984	20
2017.03.31	10308	10414	10308	10412	2984	29839999999997016	20
2017.04.03	10401	10459	10400	10413	883	8829999999999117	20
2017.04.04	10416	10459	10416	10459	547	5469999999999453	20
2017.04.05	10445	10535	10428	10523	3267	32669999999996733	17
2017.04.06	10477	10521	10439	10502	2388	23879999999997612	20
2017.04.07	10500	10520	10450	10503	2642	26419999999997358	20
2017.04.10	10497	10512	10398	10413	2521	25209999999997479	20
2017.04.11	10388	10474	10305	10412	2875	28749999999997125	20
2017.04.12	10394	10453	10350	10417	3482	34819999999996518	20
2017.04.13	10405	10445	10385	10399	2076	20759999999997924	20
2017.04.14	10385	10413	10282	10282	3089	30889999999996911	18
2017.04.17	10264	10323	10250	10304	3487	34869999999996513	17
2017.04.18	10282	10318	10234	10237	2743	27429999999997257	18
2017.04.19	10238	10266	10154	10170	4040	40399999999995960	20
2017.04.20	10159	10294	10159	10291	2908	29079999999997092	20
2017.04.21	10269	10332	10260	10299	2644	26439999999997356	20
2017.04.24	10350	10350	10225	10271	4317	43169999999995683	20
2017.04.25	10256	10391	10256	10345	2931	29309999999997069	20
2017.04.26	10350	10421	10342	10352	2453	24529999999997547	20
2017.04.27	10333	10377	10284	10362	3199	31989999999996801	20
2017.04.28	10366	10379	10286	10367	1865	18649999999998135	20
2017.05.01	10352	10376	10327	10354	712	7099999999999290	20
2017.05.02	10367	10373	10292	10320	2222	22219999999997778	20
2017.05.03	10298	10355	10248	10272	1624	16239999999998376	20
2017.05.04	10265	10316	10241	10247	2193	21929999999997807	20
2017.05.05	10229	10257	10153	10242	3148	31479999999996852	20
2017.05.08	10240	10256	10158	10221	4096	40939999999995906	20
2017.05.09	10210	10261	10178	10239	3721	37199999999996280	20
2017.05.10	10226	10332	10226	10290	3090	30899999999996910	18
2017.05.11	10277	10365	10250	10337	3919	39179999999996082	18
2017.05.12	10319	10572	10319	10569	3455	34549999999996545	18
2017.05.15	10580	10615	10550	10591	2791	27909999999997209	18
2017.05.16	10578	10580	10480	10551	2782	27799999999997220	18
2017.05.17	10529	10556	10442	10445	2382	23819999999997618	18
2017.05.18	10433	10478	10397	10442	2659	26589999999997341	18
2017.05.19	10425	10499	10425	10496	2118	21179999999997882	18
2017.05.22	10480	10585	10457	10566	3006	30049999999996995	18
2017.05.23	10556	10724	10548	10719	4658	46579999999995342	18
2017.05.24	10706	10730	10610	10698	3062	30619999999996938	18
2017.05.25	10691	11029	10691	11015	4118	41179999999995882	18
2017.05.26	11009	11064	10934	10992	3956	39559999999996044	18
2017.05.29	11002	11039	10983	11007	938	8499999999999150	18
2017.05.30	10989	11020	10989	11018	378	3729999999999627	18
2017.05.31	11009	11137	10944	11015	3439	34389999999996561	18
2017.06.01	10996	11157	10989	11149	5170	51699999999994830	18
2017.06.02	11135	11170	11010	11019	3963	39629999999996037	18
2017.06.05	11035	11055	10883	10926	4079	40779999999995922	18
2017.06.06	10908	11003	10892	10987	3325	33249999999996675	18
2017.06.07	10985	11123	10975	11070	3527	35269999999996473	18
2017.06.08	11058	11218	11052	11200	2988	29879999999997012	18
2017.06.09	11189	11336	11176	11267	3779	37779999999996222	18
2017.06.12	11235	11373	11203	11229	3882	38819999999996118	18
2017.06.13	11215	11256	11156	11224	3101	30909999999996909	16
2017.06.14	11224	11224	11021	11071	3553	35469999999996453	12
2017.06.15	11059	11074	10921	10944	3628	36199999999996380	16
2017.06.16	10974	11006	10882	10929	2442	24419999999997558	16
2017.06.19	10906	11089	10906	11085	2720	27169999999997283	18
2017.06.20	11086	11112	10997	11011	2383	23829999999997617	18
2017.06.21	11087	11178	11012	11161	3701	37009999999996299	18
2017.06.22	11160	11407	11142	11250	4274	42739999999995726	18
2017.06.23	11234	11354	11169	11331	4557	45539999999995446	18
2017.06.26	11316	11484	11316	11427	4584	45839999999995416	18
2017.06.27	11414	11463	11355	11427	4501	45009999999995499	16
2017.06.28	11404	11458	11352	11389	4187	41869999999995813	18
2017.06.29	11387	11465	11366	11376	3868	38679999999996132	18
2017.06.30	11381	11435	11350	11394	3734	37339999999996266	15
2017.07.03	11409	11423	11273	11310	3408	34069999999996593	18
2017.07.04	11298	11332	11167	11212	4349	43429999999995657	18
2017.07.05	11200	11430	11198	11408	3687	36869999999996313	18
2017.07.06	11382	11453	11305	11398	3440	34379999999996562	18
2017.07.07	11395	11395	11298	11338	2624	26179999999997382	18
2017.07.10	11324	11397	11289	11354	3073	30649999999996935	18
2017.07.11	11357	11599	11333	11519	2832	28229999999997177	18
2017.07.12	11521	11632	11406	11496	4689	46869999999995313	18
2017.07.13	11499	11653	11462	11628	4652	46449999999995355	18
2017.07.14	11633	11750	11585	11747	3801	37959999999996204	18
2017.07.17	11725	11848	11590	11713	7867	78669999999992133	18
2017.07.18	11699	11760	11592	11673	5415	54149999999994585	18
2017.07.19	11667	11864	11667	11860	5407	54069999999994593	18
2017.07.20	11853	11892	11789	11860	4002	40019999999995998	18
2017.07.21	11850	11871	11777	11797	2996	29959999999997004	18
2017.07.24	11773	11933	11752	11870	5283	52799999999994720	18
2017.07.25	11865	11960	11847	11873	5744	57419999999994258	18
2017.07.26	11865	11947	11747	11784	5912	59089999999994091	15
2017.07.27	11803	11820	11709	11779	4032	40319999999995968	18
2017.07.28	11759	11835	11730	11832	3719	37189999999996281	18
2017.07.31	11821	11859	11759	11820	3093	30919999999996908	18
2017.08.01	11809	12010	11807	11973	3664	36639999999996336	18
2017.08.02	11969	12027	11949	11966	3522	35199999999996480	18
2017.08.03	11948	12009	11787	11816	4301	43009999999995699	18
2017.08.04	11806	11849	11702	11745	3529	35279999999996472	18
2017.08.07	11754	11825	11686	11768	3536	0	18
2017.08.08	11779	11792	11728	11781	2135	0	18
2017.08.09	11761	11764	11651	11669	2884	0	18
2017.08.10	11684	11750	11534	11534	4213	0	18
2017.08.11	11526	11592	11367	11404	5863	0	18
2017.08.14	11415	11555	11414	11528	3545	0	18
2017.08.15	11553	11672	11537	11571	3307	0	18
2017.08.16	11556	11625	11527	11610	2823	0	18
2017.08.17	11608	11621	11549	11585	2541	0	18
2017.08.18	11566	11678	11545	11626	2859	0	18
2017.08.21	11628	11705	11610	11669	2054	0	18
2017.08.22	11680	11804	11667	11799	2169	0	18
2017.08.23	11792	11928	11765	11864	1980	0	18
2017.08.24	11863	11928	11811	11835	3104	0	18
2017.08.25	11833	12154	11811	12129	4915	0	18
2017.08.28	12143	12339	12129	12225	8804	0	13
2017.08.29	12208	12257	12162	12197	6188	0	18
2017.08.30	12212	12321	12137	12152	4416	0	18
2017.08.31	12171	12201	12041	12077	4551	0	13
2017.09.01	12097	12186	12029	12088	4041	0	18
2017.09.04	12074	12117	12011	12115	4701	0	18
2017.09.05	12121	12217	12084	12146	3953	0	18
2017.09.06	12156	12166	12071	12122	3986	0	18
2017.09.07	12123	12146	11995	12021	4115	0	18
2017.09.08	12019	12065	11957	12006	3401	0	18
2017.09.11	12029	12126	11971	12005	3981	0	16
2017.09.12	12017	12083	11954	12061	3588	0	18
2017.09.13	12060	12063	11984	12015	2107	0	18
2017.09.14	12024	12056	11898	11916	2706	0	18
2017.09.15	11901	11961	11867	11925	2519	0	16
2017.09.18	11936	12049	11935	11979	3457	0	18
2017.09.19	11987	12021	11888	11909	3463	0	18
2017.09.20	11912	11998	11906	11957	3426	0	18
2017.09.21	11948	12057	11923	11981	3791	0	18
2017.09.22	11976	12037	11944	11958	3095	0	18
2017.09.25	11974	11994	11901	11905	4439	0	18
